Source Name,Village,Parish,Sub county ,District,GPS Location,Lab Identifier Code,Parameter,Electrical Conductivity,pH ,Turbidity,Color (Apparent),Total Alkalinity ,Total hardness ,Calcium Hardardness ,Flouride,Nitrites ,Sulphate ,Ammonium-N ,Chloride ,Phosphates-P ,Nitrates-N 
NWSC Nkokonjeru PSP,Kigulu,Mulaje,Nkokonjeru T/C,Buikwe,36N 491344E,E22/09931,Results,132,6.4,2.5,20,50,40.2,22.4,0.24,0.01,0.9,0.11,3.9,0.07,3.16
Kibali shallow well,Kibali,,Ngogwe,Buikwe,36N 498726E,E22/09934,Results,166,5.8,1.7,0.2432,52,57.6,34.8,0.19,0.001,6.5,0.06,8.1,0.13,4.62
Nakigaya Protected spring,Nakigaya,Namatovu,Nujja,Buikwe,36N 506445E,E22/09935,Results,87,5.9,3.1,27,37,31.4,14.2,0.2,0.001,3.5,0.08,1.7,0.02,2.44
Buwooya mosque borehole,Kigayi,Malongwe,Kasubi,Buikwe,36N 504301E,E22/09936,Results,81,5.9,13,22,38,35.2,27,0.13,0.02,0.8,0.04,1.3,0.04,0.25
NWSC Buikwe PSP,Majija,Malongwe,Kasubi,Buikwe,36N 503217E,E22/09937,Results,142,6.4,1.4,0.2432,65,49.6,27,0.25,0.001,0.8,0.09,2.5,0.05,1.22
NWSC Buikwe PSP,Misindye upper,Buikwe,Buikwe T/C,Buikwe,36N 503034E,E22/09942,Results,279,6.8,2.2,3,130,114.2,61.4,0.24,0.001,1.5,0.17,7.4,0.18,0.69
NWSC Lugazi final treated water,Kawuku,,Lugazi municipality,Buikwe,36N 496576E,E22/09943,Results,90,6.1,1.7,0.2432,41,37.4,22.2,0.16,0.001,1.3,0.03,2.9,0.02,1.09
NWSC Lugazi PSP - far point,Kibuba,,,Buikwe,36N 494884E,E22/09945,Results,93,6.2,2.1,5,37,46.6,20.6,0.13,0.001,1.4,0.02,4,0.01,0.94
